[SCAN]              	moist_fred (SCAN:633a6ecadaf9ae3bd76b91e3c59d01e7af0fd779)	TARGET	(in-scope, target)
[DNS_NAME]          	digitalocean.com	TARGET	(a-record, aaaa-record, cdn-cloudflare, cloud-digitalocean, domain, in-scope, mx-record, ns-record, soa-record, target, txt-record)
[ORG_STUB]          	digitalocean	speculate	(in-scope)
[DNS_NAME]          	kim.ns.cloudflare.com	SOA	(a-record, aaaa-record, affiliate, cdn-cloudflare, distance-1, subdomain)
[DNS_NAME]          	kim.ns.cloudflare.com	NS	(affiliate, cdn-cloudflare, distance-1, subdomain)
[EMAIL_ADDRESS]     	security@digitalocean.com	dnscaa	(caa-record, cdn-cloudflare, cloud-digitalocean, in-scope)
[DNS_NAME]          	walt.ns.cloudflare.com	NS	(a-record, aaaa-record, affiliate, cdn-cloudflare, distance-1, subdomain)
[DNS_NAME]          	aspmx.l.google.com	MX	(a-record, aaaa-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	alt1.aspmx.l.google.com	MX	(a-record, aaaa-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	_spf.salesforce.com	TXT	(affiliate, distance-1, subdomain, txt-record)
[DNS_NAME]          	alt2.aspmx.l.google.com	MX	(a-record, aaaa-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	aspmx2.googlemail.com	MX	(a-record, aaaa-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	_spf.google.com	TXT	(affiliate, distance-1, subdomain, txt-record)
[DNS_NAME]          	digitalocean.com	sslcert	(affiliate, cdn-cloudflare, cloud-digitalocean, domain, in-scope)
[DNS_NAME]          	aspmx3.googlemail.com	MX	(a-record, aaaa-record, affiliate, distance-1, subdomain)
[DNS_NAME]          	helpscoutemail.com	TXT	(affiliate, distance-1, domain, ns-record, soa-record, txt-record)
[STORAGE_BUCKET]    	{"name": "digitalocean", "url": "https://www.googleapis.com/storage/v1/b/digitalocean"}	bucket_google	(cloud-google, distance-1)
[SOCIAL]            	{"platform": "github", "profile_name": "digitalocean", "url": "https://github.com/digitalocean"}	github_org	(distance-1, github-org)
[FINDING]           	{"description": "OpenID Connect Endpoint (domain: digitalocean.com) found at https://login.windows.net/digitalocean.com/.well-known/openid-configuration", "host": "digitalocean.com", "url": "https://login.windows.net/digitalocean.com/.well-known/openid-configuration"}	oauth	(in-scope)
[OPEN_TCP_PORT]     	digitalocean.com:443	speculate	(cdn-cloudflare, cloud-digitalocean, in-scope)
[URL]               	https://digitalocean.com/	httpx	(cdn-cloudflare, cloud-digitalocean, dir, http-title-301-moved-permanently, in-scope, ip-104-19-173-68, status-301)
[DNS_NAME]          	mg-spf.greenhouse.io	TXT	(affiliate, distance-1, subdomain, txt-record)
[STORAGE_BUCKET]    	{"name": "digitalocean", "url": "https://digitalocean.s3.amazonaws.com/"}	bucket_amazon	(cloud-amazon, distance-1)
